symbol_name,image_url,meaning
Engine Temperature Warning Light,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-engine-coolant-temperature-warning-light.png.webp,engine is overheating the coolant
Oil Pressure Warning Light,https://carwarninglights.net/wp-content/uploads/ford-fiesta-engine-oil-pressure-light.png.webp,oil level is low
Battery Charge Warning Light,https://carwarninglights.net/wp-content/uploads/bmw-5-series-battery-charge-warning-light.png.webp,car’s charging dynamo is a problem and that your car only works with the battery
Hand Brake Warning Light,https://carwarninglights.net/wp-content/uploads/ford-fiesta-brake-warning-light.png.webp,handbrake is on
Hand Brake Warning Light (Other),https://carwarninglights.net/wp-content/uploads/bmw-5-series-brake-warning-light.jpg.webp,handbrake is on
Electric Parking Brake Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-electric-parking-brake-warning-light.png.webp,"shifted the gear position to park, on automatic-gear vehicles"
Airbag Malfunction Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-air-bag-warning-light.png.webp,airbag system is not functioning
Seat Belt Not On Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-seat-belt-reminder-warning-light.png.webp,seat belt is not attached
Transmission Temperature  Warning Light,https://carwarninglights.net/wp-content/uploads/ford-fiesta-transmission-temperature-warning-light.png.webp,gearbox operating at an improper temperature
Car Security Warning Light,https://carwarninglights.net/wp-content/uploads/dodge-charger-vehicle-security-warning-light.png.webp,flashes if vehicle security alarm is sounding
Electronic Throttle Control Warning Light,https://carwarninglights.net/wp-content/uploads/dodge-charger-electronic-throttle-control-warning-light.png.webp,malfunction in the electronic Throttle Control system
Car Ahead Indicator Warning Light,https://carwarninglights.net/wp-content/uploads/chevrolet-silverado-vehicle-ahead-indicator.png.webp,there is a vehicle in front of your car and you need to reduce your speed to avoid collision
Lane Keep Assist Warning Light,https://carwarninglights.net/wp-content/uploads/chevrolet-silverado-lane-keep-assist-warning-light.png.webp,lane change is made without using the signal
Check Engine Light or Malfunction Indicator Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-engine-check-malfunction-indicator-warning-light.png.webp,"advance setting and the engine system is switched on and the result is lit when the vehicle is not properly installed. Other common causes may include; poor quality fuel, lambda sensor malfunction, catalytic converter malfunction, egr malfunction"
Check Engine Light or Malfunction Indicator Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulia-quardlifoglio-engine-functions.jpg.webp,"advance setting and the engine system is switched on and the result is lit when the vehicle is not properly installed. Other common causes may include; poor quality fuel, lambda sensor malfunction, catalytic converter malfunction, egr malfunction"
Diesel Particulate Filter Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-particulate-filter-warning-light.jpg.webp,vehicle is blocked by the exhaust system or due to different substances
Glow Plug Warning Light,https://carwarninglights.net/wp-content/uploads/pqxoy8v71r4cqe4h85x-o-300x300.png.webp,"indicates that the glow plugs are heating up to aid in starting the engine, especially in cold weather"
Low Fuel Indicator Symbol,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-low-fuel-warning-light.png.webp,car low on fuel
ABS Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-abs-warning-light.jpg.webp,"problem with Anti-lock Braking System, If ignition does not come on when the ignition switch is “ON” position, it means that it is defective if it does not go ON after burning, and if it is on when driving, you must use your vehicle carefully, drive at medium speed and avoid braking hardly."
SPORT Mode,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-sport-mode-warning-light.png.webp,sport mode activated
Service 4wd Warning Light,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-service-4wd-warning-light.png.webp,malfunction in four-wheel drive system
Electronic Stability Control Active Warning Light,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-electronic-stability-control-active-warning-light.jpg.webp,car is in traction control/anti-slip or electronic stability system in use. It is usually an indicator light that indicates the conditions are slippery
Car Triangle with Exclamation Point,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-master-warning-light.jpg.webp,"generic warning light, service right"
Door Open Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-door-open-warning-light.png.webp,door is open
Swing Gate Reminder Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-swing-gate-reminder-warning-light.png.webp,luggage compartment is open
Hood Open Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-hood-open-warning-light.jpg.webp,engine hood is open
Service Electric Parking Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-service-electric-parking.jpg.webp,there is a technical problem/defect in the parking brake system and needs emergency service
All Wheel Drive Warning Light,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-awd.png.webp,problem with the AWD system
Steering Wheel Warning Light,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-steering-system-warning-light.jpg.webp,"In vehicles with hydraulic and / or electric steering systems, problems and failures that occur in the system"
Water in Fuel Filter Warning Light,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-water-in-fuel-filter-warning-light.png.webp,the water level in the fuel filter has increased
Loose Fuel Filler Cap Warning Light,https://carwarninglights.net/wp-content/uploads/dodge-ram-truck-loose-fuel-filler-cap-warning-light.png.webp,loose fuel filler cap
Low washer fluid warning light,https://carwarninglights.net/wp-content/uploads/dodge-charger-low-washer-fluid-warning-light.png.webp,the windshield washer liquid has decreased or run out
Service Adaptive Cruise Control Warning Light,https://carwarninglights.net/wp-content/uploads/dodge-charger-service-adaptive-cruise-control-warning-light.png.webp,"adaptive cruise control is not available. When safe, stop the vehicle and turn off the engine. Restart the vehicle and check the radar for dirt, ice, etc. Check for obstructions. If the warning lamp stays on, please visit your nearest authorized service facility for assistance."
Traction Off Light,https://carwarninglights.net/wp-content/uploads/chevrolet-silverado-traction-off-light.png.webp,"system detects a loss of traction, such as in snow or rain; If the traction control light comes on and stays on without flashing, it means that the traction control system is disabled and there is no traction control. A message may even be issued by the driver information centre, warning that the traction control system has been switched off and that extra care must be exercised, especially when driving on water, ice and snow.

"
