symbol_name,image_url,meaning
Engine Temperature Warning Light,https://carwarninglights.net/wp-content/uploads/nissan-qashqai-engine-coolant-temperature-warning-light.png.webp,Engine Temperature Warning Light; Indicates that the engine is overheating the coolant. One of the three most important warning lamps in your car is the (Others Oil Lamp and Charging Lamp).
Oil Pressure Warning Light,https://carwarninglights.net/wp-content/uploads/ford-fiesta-engine-oil-pressure-light.png.webp,"Oil Pressure Warning Light; Oil is the lifeblood of your car. The entire engine system works thanks to lubrication. It’s like the water need for the human body. The most important is the warning lamp, which requires immediate action. If this lamp lights up, your car’s oil level is low. You should stop your vehicle as soon as possible and check the oil level after you have cooled off your engine. You must not drive your vehicle with in this light."
Battery Charge Warning Light,https://carwarninglights.net/wp-content/uploads/bmw-5-series-battery-charge-warning-light.png.webp,Battery charge warning light; This dashboard symbol means that your car’s charging dynamo is a problem and that your car only works with the battery.
Hand Brake Warning Light,https://carwarninglights.net/wp-content/uploads/ford-fiesta-brake-warning-light.png.webp,Hand Brake Warning Light; It’s a warning light to show that the handbrake is ON.
Hand Brake Warning Light (Other),https://carwarninglights.net/wp-content/uploads/bmw-5-series-brake-warning-light.jpg.webp,Hand Brake Warning Light; It’s a warning light to show that the handbrake is ON.
Electric Parking Brake Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-electric-parking-brake-warning-light.png.webp,"Electric parking brake warning light; On automatic-gear vehicles, lights up when you shift the gear position to park. (P)"
Airbag Malfunction Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-air-bag-warning-light.png.webp,"Airbag malfunction warning light;  When this lamp is lit, the airbag system is not functioning. You are advised to go to the service."
Seat Belt Not On Warning Light,https://carwarninglights.net/wp-content/uploads/alfa-romeo-giulietta-seat-belt-reminder-warning-light.png.webp,"Seat belt not on warning light; Warning light, which means that the seat belt is not attached."
Transmission Temperature  Warning Light,https://carwarninglights.net/wp-content/uploads/ford-fiesta-transmission-temperature-warning-light.png.webp,Transmission Temperature  Warning Light; The gearbox is a warning symbol that means that it is operating at an improper temperature. Check the gearbox oil level and engine coolant level. Wait for 5 minutes to cool at idle while the vehicle is in gearshift N.
Car Security Warning Light,https://carwarninglights.net/wp-content/uploads/dodge-charger-vehicle-security-warning-light.png.webp,Car Security Warning Light; This dashboard light flashes for about 15 seconds. It flashes because the vehicle security alarm is sounding and turns off automatically when the alarm goes away.
